
2025/04/06 (13:21:22) | ===> btop++ v.1.4.0
2025/04/06 (13:21:22) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (13:37:26) | ===> btop++ v.1.4.0
2025/04/06 (13:37:26) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (13:39:28) | ===> btop++ v.1.4.0
2025/04/06 (13:39:28) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (14:30:26) | ===> btop++ v.1.4.0
2025/04/06 (14:30:26) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (14:53:38) | ===> btop++ v.1.4.0
2025/04/06 (14:53:38) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (14:56:22) | ===> btop++ v.1.4.0
2025/04/06 (14:56:22) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (15:09:15) | ===> btop++ v.1.4.0
2025/04/06 (15:09:15) | WARNING: Failed to join _runner thread on exit!

2025/04/06 (17:52:38) | ===> btop++ v.1.4.0
2025/04/06 (17:52:38) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (12:29:28) | ===> btop++ v.1.4.0
2025/04/07 (12:29:28) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (13:36:10) | ===> btop++ v.1.4.0
2025/04/07 (13:36:10) | WARNING: Failed to join _runner thread on exit!
